municipality_code,municipality_name,municipality_name_short,county_code,county_name,county_name_short
1784,Arvika kommun,Arvika,17,Värmlands län,Värmland
1785,Säffle kommun,Säffle,17,Värmlands län,Värmland
1814,Lekebergs kommun,Lekeberg,18,Örebro län,Örebro
1860,Laxå kommun,Laxå,18,Örebro län,Örebro
1861,Hallsbergs kommun,Hallsberg,18,Örebro län,Örebro
1862,Degerfors kommun,Degerfors,18,Örebro län,Örebro
1863,Hällefors kommun,Hällefors,18,Örebro län,Örebro
1864,Ljusnarsbergs kommun,Ljusnarsberg,18,Örebro län,Örebro
1880,Örebro kommun,Örebro,18,Örebro län,Örebro
1881,Kumla kommun,Kumla,18,Örebro län,Örebro
1882,Askersunds kommun,Askersund,18,Örebro län,Örebro
1883,Karlskoga kommun,Karlskoga,18,Örebro län,Örebro
1884,Nora kommun,Nora,18,Örebro län,Örebro
1885,Lindesbergs kommun,Lindesberg,18,Örebro län,Örebro
1904,Skinnskattebergs kommun,Skinnskatteberg,19,Västmanlands län,Västmanland
1907,Surahammars kommun,Surahammar,19,Västmanlands län,Västmanland
1960,Kungsörs kommun,Kungsör,19,Västmanlands län,Västmanland
1961,Hallstahammars kommun,Hallstahammar,19,Västmanlands län,Västmanland
1962,Norbergs kommun,Norberg,19,Västmanlands län,Västmanland
1980,Västerås kommun,Västerås,19,Västmanlands län,Västmanland
1981,Sala kommun,Sala,19,Västmanlands län,Västmanland
1982,Fagersta kommun,Fagersta,19,Västmanlands län,Västmanland
1983,Köpings kommun,Köping,19,Västmanlands län,Västmanland
1984,Arboga kommun,Arboga,19,Västmanlands län,Västmanland
2021,Vansbro kommun,Vansbro,20,Dalarnas län,Dalarna
2023,Malung-Sälens kommun,Malung-Sälen,20,Dalarnas län,Dalarna
2026,Gagnefs kommun,Gagnef,20,Dalarnas län,Dalarna
2029,Leksands kommun,Leksand,20,Dalarnas län,Dalarna
2031,Rättviks kommun,Rättvik,20,Dalarnas län,Dalarna
2034,Orsa kommun,Orsa,20,Dalarnas län,Dalarna
2039,Älvdalens kommun,Älvdalen,20,Dalarnas län,Dalarna
2061,Smedjebackens kommun,Smedjebacken,20,Dalarnas län,Dalarna
2062,Mora kommun,Mora,20,Dalarnas län,Dalarna
2080,Faluns kommun,Falun,20,Dalarnas län,Dalarna
2081,Borlänge kommun,Borlänge,20,Dalarnas län,Dalarna
2082,Säters kommun,Säter,20,Dalarnas län,Dalarna
2083,Hedemora kommun,Hedemora,20,Dalarnas län,Dalarna
2084,Avesta kommun,Avesta,20,Dalarnas län,Dalarna
2085,Ludvika kommun,Ludvika,20,Dalarnas län,Dalarna
2101,Ockelbo kommun,Ockelbo,21,Gävleborgs län,Gävleborg
2104,Hofors kommun,Hofors,21,Gävleborgs län,Gävleborg
2121,Ovanåkers kommun,Ovanåker,21,Gävleborgs län,Gävleborg
2132,Nordanstigs kommun,Nordanstig,21,Gävleborgs län,Gävleborg
2161,Ljusdals kommun,Ljusdal,21,Gävleborgs län,Gävleborg
2180,Gävle kommun,Gävle,21,Gävleborgs län,Gävleborg
2181,Sandvikens kommun,Sandviken,21,Gävleborgs län,Gävleborg
2182,Söderhamns kommun,Söderhamn,21,Gävleborgs län,Gävleborg
2183,Bollnäs kommun,Bollnäs,21,Gävleborgs län,Gävleborg
2184,Hudiksvalls kommun,Hudiksvall,21,Gävleborgs län,Gävleborg
2260,Ånge kommun,Ånge,22,Västernorrlands län,Västernorrland
2262,Timrå kommun,Timrå,22,Västernorrlands län,Västernorrland
2280,Härnösands kommun,Härnösand,22,Västernorrlands län,Västernorrland
2281,Sundsvalls kommun,Sundsvall,22,Västernorrlands län,Västernorrland
2282,Kramfors kommun,Kramfors,22,Västernorrlands län,Västernorrland
2283,Sollefteå kommun,Sollefteå,22,Västernorrlands län,Västernorrland
2284,Örnsköldsviks kommun,Örnsköldsvik,22,Västernorrlands län,Västernorrland
2303,Ragunda kommun,Ragunda,23,Jämtlands län,Jämtland
2305,Bräcke kommun,Bräcke,23,Jämtlands län,Jämtland
2309,Krokoms kommun,Krokom,23,Jämtlands län,Jämtland
2313,Strömsunds kommun,Strömsund,23,Jämtlands län,Jämtland
2321,Åre kommun,Åre,23,Jämtlands län,Jämtland
2326,Bergs kommun,Berg,23,Jämtlands län,Jämtland
2361,Härjedalens kommun,Härjedalen,23,Jämtlands län,Jämtland
2380,Östersunds kommun,Östersund,23,Jämtlands län,Jämtland
2401,Nordmalings kommun,Nordmaling,24,Västerbottens län,Västerbotten
2403,Bjurholms kommun,Bjurholm,24,Västerbottens län,Västerbotten
2404,Vindelns kommun,Vindeln,24,Västerbottens län,Västerbotten
2409,Robertsfors kommun,Robertsfors,24,Västerbottens län,Västerbotten
2417,Norsjö kommun,Norsjö,24,Västerbottens län,Västerbotten
2418,Malå kommun,Malå,24,Västerbottens län,Västerbotten
2421,Storumans kommun,Storuman,24,Västerbottens län,Västerbotten
2422,Sorsele kommun,Sorsele,24,Västerbottens län,Västerbotten
2425,Dorotea kommun,Dorotea,24,Västerbottens län,Västerbotten
2460,Vännäs kommun,Vännäs,24,Västerbottens län,Västerbotten
2462,Vilhelmina kommun,Vilhelmina,24,Västerbottens län,Västerbotten
2463,Åsele kommun,Åsele,24,Västerbottens län,Västerbotten
2480,Umeå kommun,Umeå,24,Västerbottens län,Västerbotten
2481,Lycksele kommun,Lycksele,24,Västerbottens län,Västerbotten
2482,Skellefteå kommun,Skellefteå,24,Västerbottens län,Västerbotten
2505,Arvidsjaurs kommun,Arvidsjaur,25,Norrbottens län,Norrbotten
2506,Arjeplogs kommun,Arjeplog,25,Norrbottens län,Norrbotten
2510,Jokkmokks kommun,Jokkmokk,25,Norrbottens län,Norrbotten
2513,Överkalixs kommun,Överkalix,25,Norrbottens län,Norrbotten
2514,Kalixs kommun,Kalix,25,Norrbottens län,Norrbotten
2518,Övertorneå kommun,Övertorneå,25,Norrbottens län,Norrbotten
2521,Pajala kommun,Pajala,25,Norrbottens län,Norrbotten
2523,Gällivare kommun,Gällivare,25,Norrbottens län,Norrbotten
2560,Älvsbyns kommun,Älvsbyn,25,Norrbottens län,Norrbotten
2580,Luleå kommun,Luleå,25,Norrbottens län,Norrbotten
2581,Piteå kommun,Piteå,25,Norrbottens län,Norrbotten
2582,Bodens kommun,Boden,25,Norrbottens län,Norrbotten
2583,Haparanda kommun,Haparanda,25,Norrbottens län,Norrbotten
2584,Kiruna kommun,Kiruna,25,Norrbottens län,Norrbotten
